"OM_hard","OM_soft","LCS_hard","LCS_soft","Windows","CFDA","OM_hard_SeqPC","OM_soft_SeqPC","Index"
NA,NA,NA,NA,5.01825253011941,4.79323087649733,NA,NA,1
4.90318190732168,4.92294898758996,4.90363457424609,4.94289465855417,4.93711362470488,4.79816545162734,4.94096839091653,4.90773313808831,2
4.89399160619987,4.76667252279614,4.89389940376087,4.80807612836498,4.90819219158932,4.7656821498625,5.05155887526641,4.9154183510932,3
4.83774448364404,4.78762963135878,4.85180223347078,4.7962243469201,4.74566310150778,4.68258882301419,4.94037879255457,4.91294466145635,4
4.80343579209369,4.77996338666801,4.80518095721435,4.77094379582194,4.71450932167126,4.65481094261909,4.89241269668857,4.94636205688841,5
4.77022192024518,4.77928155210681,4.76928032596924,4.76131820764681,4.7248930580951,4.64777813800767,4.86640709701221,4.96119235027521,6
4.75716487936087,4.75966990966737,4.76299044959762,4.76166882255718,4.72411584641923,4.65384985603791,4.84024863238173,4.94776094268098,7
4.72696059087495,4.73826266423476,4.74888796896922,4.74395128242679,4.69769378374551,4.61411816222241,4.8445118904702,4.90417494668493,8
4.71800857985508,4.74186292740139,4.71296537061032,4.74294328420103,4.66633005202806,4.60396946445433,4.85890435245559,4.97789289018785,9
4.69170439436954,4.72477665276111,4.68007773531932,4.73700047830805,4.58598413380308,4.60130212228314,4.81673287589415,4.95786745140214,10
4.66665257492448,4.71226985648753,4.67632282904689,4.73006794317448,4.58759262967786,4.60064345577854,4.80488436844686,4.93325573615479,11
4.66529146182223,NA,4.66287336541131,4.74306759100058,4.58759262967786,4.60757179526512,4.81988085970894,NA,12
4.66370876886159,NA,4.64168372036124,4.73972304346481,4.59328493315232,4.61203380408809,4.82333448656998,NA,13
4.62483316917205,NA,4.62605386491578,4.72627560194729,4.59328493315232,4.6278325439918,4.77255806523209,NA,14
4.6373956025785,NA,4.62850259116217,NA,4.6011733551271,4.62802093857541,4.75846409256037,NA,15
4.62688878922637,NA,4.62216288518202,NA,4.6011733551271,4.62914911342991,4.73738178948275,NA,16
4.64655574709989,NA,4.61403156710079,NA,NA,4.63588155852023,4.7724217390244,NA,17
4.6609815203297,NA,4.62941036891881,NA,NA,4.64241391578498,4.78884679712526,NA,18
4.66152561609909,NA,4.62857870535323,NA,NA,4.62732655384167,4.77662727793666,NA,19
4.65750482770073,NA,4.64943032717264,NA,NA,4.62940793372167,4.73794564786653,NA,20
4.69593077189739,NA,4.6515324092109,NA,NA,4.60688370030429,4.79559511725197,NA,21
4.68593379581749,NA,4.65443134738335,NA,NA,4.6194678038856,4.7915288503936,NA,22
4.70805059562656,NA,4.67844489937527,NA,NA,4.62402022249624,4.80038018302663,NA,23
4.71353415480831,NA,4.67303889828927,NA,NA,4.60414062339045,4.80069050730297,NA,24
4.71643998585909,NA,4.69916094904728,NA,NA,4.60873658491682,4.7924754038611,NA,25
